account_id,account_type_id,branch_id,opened_by_employee_id,opened_date,closed_date,current_balance,available_balance,status
486,4,2,11,2019-03-09,,-1237.76,-1237.76,active
487,1,8,41,2024-11-06,,2170.86,2062.51,active
488,1,5,12,2018-04-09,,25450.26,25220.33,active
489,4,3,52,2021-02-05,,-1240.04,-1240.04,active
490,3,12,34,2019-01-24,,41077.4,41073.53,active
491,2,7,54,2018-10-25,,10502.75,10351.74,active
492,2,2,24,2016-04-22,,23715.67,23622.2,active
493,1,12,45,2018-06-01,2023-04-04,5489.14,5450.53,closed
494,1,3,31,2015-11-18,,5141.97,5136.33,active
495,1,2,17,2015-05-15,,2492.89,2457.21,active
496,4,2,13,2023-10-10,,-3299.18,-3299.18,active
497,2,6,37,2018-12-13,,36291.98,36219.43,active
498,2,4,47,2023-01-10,,45033.84,44872.7,active
499,1,12,25,2021-08-11,,4919.89,4669.47,active
500,1,7,32,2016-04-07,,23028.04,22872.12,active
501,1,9,30,2023-02-05,2025-03-17,24432.5,24317.07,closed
502,3,8,5,2017-07-14,,42695.97,42639.33,active
503,3,6,29,2017-01-04,2021-01-23,24328.24,24296.69,closed
504,1,2,58,2016-08-10,,48867.33,48644.9,active
505,1,4,28,2018-10-19,,19916.6,19846.74,active
506,4,12,42,2023-08-04,,-1684.06,-1684.06,active
507,2,11,30,2021-10-06,,25326.43,25282.22,active
508,1,11,44,2016-07-05,2020-12-02,2169.05,2148.58,closed
509,1,5,32,2021-12-22,,32884.57,32728.59,active
510,1,11,35,2020-08-01,,16852.59,16594.69,active
511,1,7,36,2020-01-18,,22712.64,22702.78,active
512,1,12,8,2016-11-03,,35644.02,35497.78,active
513,3,9,4,2022-09-08,,27893.9,27847.01,active
514,2,7,38,2021-12-01,,13864.1,13845.67,active
515,4,11,27,2018-10-29,,-64.44,-64.44,active
516,1,4,20,2017-08-19,,45474.65,45455.0,active
517,1,8,45,2022-05-18,,45021.2,44941.21,active
518,1,7,44,2021-05-25,,40320.49,40290.47,active
519,2,11,41,2018-10-22,,48456.1,48395.57,active
520,4,9,26,2017-05-26,,-30.18,-30.18,active
521,3,2,52,2023-01-18,,16510.32,16490.14,active
522,1,6,43,2023-12-03,,24984.3,24894.33,active
523,2,7,2,2017-10-26,,38053.83,37999.65,active
524,4,3,30,2021-06-20,,-1408.74,-1408.74,active
525,2,10,34,2024-07-24,,28088.88,27900.85,active
526,1,4,56,2016-09-08,,42128.16,42005.08,active
527,3,4,39,2024-06-27,,32125.15,32048.22,active
528,1,3,36,2017-02-25,2021-11-23,41275.06,41135.81,closed
529,3,1,43,2017-04-07,,12549.04,12307.98,active
530,4,1,6,2023-02-07,,-1123.33,-1123.33,frozen
531,4,2,26,2019-07-26,,-914.25,-914.25,active
532,4,3,34,2017-08-24,,-536.52,-536.52,active
533,4,9,50,2017-10-28,,-3201.43,-3201.43,active
534,4,10,28,2023-04-08,,-6112.5,-6112.5,active
535,1,4,24,2018-01-29,,29268.79,29121.68,active
536,1,9,10,2019-10-02,,13525.56,13290.28,active
537,1,5,52,2015-03-28,,1257.88,1036.05,active
538,4,11,45,2017-09-08,,-2888.41,-2888.41,active
539,1,9,26,2024-09-21,,-102.76,-102.76,active
540,1,2,29,2024-03-23,,42900.55,42852.48,active
541,3,7,32,2023-11-08,2028-12-25,3544.78,3310.94,closed
542,4,6,11,2023-01-17,,-7196.84,-7196.84,active
543,1,6,2,2019-09-20,,36758.17,36622.19,active
544,3,3,13,2022-01-25,,-344.67,-344.67,active
545,2,2,49,2016-03-29,,48468.06,48218.87,active
546,4,6,44,2020-01-24,,-5914.56,-5914.56,active
547,4,5,25,2017-03-24,,-4852.05,-4852.05,active
548,1,1,30,2015-04-05,,31144.68,30872.63,active
549,4,3,6,2015-07-23,,-5918.74,-5918.74,active
550,2,2,44,2015-02-27,,45959.45,45823.34,active
